1,Null,Traumeel S,Solução injetável,Associação,Biologische Heilmittel Heel GmbH,False,Autorizado,Comercializado,{}
2,Null,Avenoc,Supositório,Associação,"Laboratoires Boiron, S.A.",False,Autorizado,Comercializado,{}
3,Null,Homeogene 9,Comprimido,Associação,"Boiron, S.A.",False,Autorizado,Comercializado,{}
4,Null,Coryzalia,Comprimido revestido,Associação,"Boiron, S.A.",False,Autorizado,Comercializado,{}
5,Null,Homeovox,Comprimido revestido,Associação,"Boiron, S.A.",False,Autorizado,Comercializado,{}
6,Null,Sedatif PC,Comprimido,Associação,"Boiron, S.A.",False,Autorizado,Comercializado,{}
7,Null,Gastrocynesine,Comprimido,Associação,"Boiron, S.A.",False,Autorizado,Comercializado,{}
8,Null,Cocculine,Comprimido,Associação,"Boiron, S.A.",False,Autorizado,Comercializado,{}
9,Null,Oscillococcinum,Glóbulos,0.01 ml/g,"Boiron, S.A.",False,Autorizado,Comercializado,{}
10,Null,Tonsilotren,Comprimido,N/a,Deutsche Homöopathie-Union (DHU) - Arzneimittel GmbH & Co. KG,False,Autorizado,Comercializado,{}
11,Null,Calmikind,Comprimido,N/a,Deutsche Homöopathie-Union (DHU) - Arzneimittel GmbH & Co. KG,False,Autorizado,Comercializado,{}
12,Null,Dentokind,Comprimido,N/a,Deutsche Homöopathie-Union (DHU) - Arzneimittel GmbH & Co. KG,False,Autorizado,Comercializado,{}
13,Null,Enterokind,"Gotas orais, solução",N/a,Deutsche Homöopathie-Union (DHU) - Arzneimittel GmbH & Co. KG,False,Autorizado,Comercializado,{}
14,Null,Immunokind,Comprimido,N/a,Deutsche Homöopathie-Union (DHU) - Arzneimittel GmbH & Co. KG,False,Autorizado,Comercializado,{}
15,Null,Kindinorm,Grânulos,N/a,Deutsche Homöopathie-Union (DHU) - Arzneimittel GmbH & Co. KG,False,Autorizado,Comercializado,{}
16,Null,Stodal,Xarope,Associação,"Boiron, S.A.",False,Autorizado,Comercializado,{}
17,Null,Osteocynesine,Comprimido,Associação,"Laboratoires Boiron, S.A.",False,Autorizado,Comercializado,{}
18,Null,Traumeel S,Comprimido,Associação,Biologische Heilmittel Heel GmbH,False,Autorizado,Comercializado,{}
19,Null,Traumeel S,Pomada,Associação,Biologische Heilmittel Heel GmbH,False,Autorizado,Comercializado,{}
20,Null,Traumeel S,"Gotas orais, solução",Associação,Biologische Heilmittel Heel GmbH,False,Autorizado,Comercializado,{}
21,Null,Homeoptic,"Colírio, solução em recipiente unidose",Associação,"Boiron, S.A.",False,Autorizado,Comercializado,{}
22,Null,Cicaderma,Pomada,Associação,"Boiron, S.A.",False,Autorizado,Comercializado,{}
23,Null,Arnigel,Gel,7 %,"Boiron, S.A.",False,Autorizado,Comercializado,{}
24,Null,Pulmocap Thymus,Xarope,110 mg/ml,Conforma NV,False,Autorizado,Comercializado,{}
25,Null,Serlieve,Cápsula mole,80 mg,Dr. Willmar Schwabe GmbH & Co.,False,Autorizado,Comercializado,{}
26,Null,Camilia,Solução oral,1 ml,"Boiron, S.A.",False,Autorizado,Comercializado,{}
27,Null,Influcid,Comprimido,N/a,Deutsche Homöopathie-Union (DHU) - Arzneimittel GmbH & Co. KG,False,Autorizado,Comercializado,{}
28,Null,Neurexan,Comprimido,Não aplicável,Biologische Heilmittel Heel GmbH (Fab. Baden-Baden),False,Autorizado,Comercializado,{}
29,Null,Oscillococcinum (IP),Glóbulos,0.01 ml/g,"Tiliafarm-Comercialização de Produtos Farmacêuticos, Lda.",False,Autorizado,Comercializado,{}
30,Null,Bronchodual,Solução oral,(0.12 g + 0.83 g)/15 ml,Kwizda Pharma GmbH,False,Autorizado,Comercializado,{}
31,Null,Ellura,Cápsula,195.7 - 216.9 mg,Laboratoire Pharmaceutique Pharmatoka,False,Autorizado,Comercializado,{}
32,Null,Bronchodual Night & Day,Solução oral,(12.5 mg + 9.09 mg + 10 mg)/ml,Kwizda Pharma GmbH,False,Autorizado,Comercializado,{}
33,Null,RoterCysti,Comprimido revestido por película,500 mg,Vemedia Manufacturing B.V.,False,Autorizado,Comercializado,{}
34,Null,Bronchodual Next,Pastilha mole,51.1 mg + 4.5 mg,Kwizda Pharma GmbH,False,Autorizado,Comercializado,{}
35,Null,Valdispertstress,Comprimido revestido,200 mg + 68 mg,Vemedia Manufacturing B.V.,False,Autorizado,Comercializado,{}
36,Abacavir,Ziagen,Solução oral,20 mg/ml,ViiV Healthcare BV,False,Autorizado,Comercializado,{}
37,Abacavir,Abacavir Generis,Comprimido revestido por película,300 mg,"Generis Farmacêutica, S.A.",True,Autorizado,Comercializado,{}
38,Abacavir,Abacavir Mylan,Comprimido revestido por película,300 mg,"Mylan, Lda.",True,Autorizado,Comercializado,{}
39,Abacavir + Lamivudina,Abacavir + Lamivudina Mylan,Comprimido revestido por película,600 mg + 300 mg,"Mylan, Lda.",True,Autorizado,Comercializado,{Infeção pelo vírus da imunodeficiência humana (VIH)}
40,Abacavir + Lamivudina,Abacavir + Lamivudina Aurovitas,Comprimido revestido por película,600 mg + 300 mg,"Generis Farmacêutica, S.A.",True,Autorizado,Comercializado,{Infeção pelo vírus da imunodeficiência humana (VIH)}
41,Abatacept,Orencia,Pó para concentrado para solução para perfusão,250 mg,Bristol-Myers Squibb Pharma EEIG,False,Autorizado,Comercializado,{}
42,Abemaciclib,Verzenios,Comprimido revestido por película,150 mg,"Eli Lilly Nederland, B.V.",False,Autorizado,Comercializado,{}
43,Abemaciclib,Verzenios,Comprimido revestido por película,50 mg,"Eli Lilly Nederland, B.V.",False,Autorizado,Comercializado,{}
44,Abemaciclib,Verzenios,Comprimido revestido por película,100 mg,"Eli Lilly Nederland, B.V.",False,Autorizado,Comercializado,{}
45,Abiraterona,Abiraterona Accord,Comprimido revestido por película,500 mg,"Accord Healthcare, S.L.U.",True,Autorizado,Comercializado,{Cancro da próstata}
46,Abiraterona,Abiraterona Sandoz,Comprimido revestido por película,500 mg,"Sandoz Farmacêutica, Lda.",True,Autorizado,Comercializado,{Cancro da próstata}
47,Abiraterona,Abiraterona Mylan,Comprimido revestido por película,1000 mg,Mylan Ireland Ltd.,False,Autorizado,Comercializado,{Cancro da próstata}
48,Abiraterona,Zytiga,Comprimido revestido por película,500 mg,Janssen-Cilag International N.V.,False,Autorizado,Comercializado,{Cancro da próstata}
49,Abiraterona,Abiraterona Mylan,Comprimido revestido por película,500 mg,Mylan Ireland Ltd.,True,Autorizado,Comercializado,{Cancro da próstata}
50,Abiraterona,Abiraterona Krka,Comprimido revestido por película,500 mg,"KRKA d.d., Novo mesto",True,Autorizado,Comercializado,{Cancro da próstata}
51,Abiraterona,Abiraterona Bluepharma,Comprimido revestido por película,500 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,True,Autorizado,Comercializado,{Cancro da próstata}
52,Abrocitinib,Cibinqo,Comprimido revestido por película,50 mg,Pfizer Europe MA EEIG,False,Autorizado,Comercializado,{Dermatite atópica moderada a grave}
53,Abrocitinib,Cibinqo,Comprimido revestido por película,100 mg,Pfizer Europe MA EEIG,False,Autorizado,Comercializado,{Dermatite atópica moderada a grave}
54,Abrocitinib,Cibinqo,Comprimido revestido por película,200 mg,Pfizer Europe MA EEIG,False,Autorizado,Comercializado,{Dermatite atópica moderada a grave}
55,Acalabrutinib,Calquence,Cápsula,100 mg,AstraZeneca AB,False,Autorizado,Comercializado,{}
56,Acalabrutinib,Calquence,Comprimido revestido por película,100 mg,AstraZeneca AB,False,Autorizado,Comercializado,{}
57,Acamprosato,Campral,Comprimido gastrorresistente,333 mg,Merck Santé S.A.S.,False,Autorizado,Comercializado,{Dependência de álcool}
58,Acarbose,Acarbose Bluepharma,Comprimido,50 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,True,Autorizado,Comercializado,{Diabetes mellitus}
59,Acarbose,Acarbose Bluepharma,Comprimido,100 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,True,Autorizado,Comercializado,{Diabetes mellitus}
60,Acarbose,Acarbose Farmoz,Comprimido,50 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",True,Autorizado,Comercializado,{Diabetes mellitus}
61,Acarbose,Acarbose Farmoz,Comprimido,100 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",True,Autorizado,Comercializado,{Diabetes mellitus}
62,Acarbose,Acarbose Establix,Comprimido,50 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",True,Autorizado,Comercializado,{Diabetes mellitus}
63,Acarbose,Acarbose Establix,Comprimido,100 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",True,Autorizado,Comercializado,{Diabetes mellitus}
64,Acarbose,Acarbose Generis,Comprimido,50 mg,"Generis Farmacêutica, S.A.",True,Autorizado,Comercializado,{Diabetes mellitus}
65,Acarbose,Acarbose Generis,Comprimido,100 mg,"Generis Farmacêutica, S.A.",True,Autorizado,Comercializado,{Diabetes mellitus}
66,Acarbose,Acarbose Mylan,Comprimido,100 mg,"Mylan, Lda.",True,Autorizado,Comercializado,{Diabetes mellitus}
67,Acarbose,Acarbose Mylan,Comprimido,50 mg,"Mylan, Lda.",True,Autorizado,Comercializado,{Diabetes mellitus}
68,Aceclofenac,Aceclofenac Generis,Comprimido revestido por película,100 mg,"Generis Farmacêutica, S.A.",True,Autorizado,Comercializado,"{Reumatismo articular, Osteoartrose, Periartrite escápulo-umeral, Artrite reumatóide, Espondilite anquilosante, Reumatismo extra-articular, Lombalgia, Ciática, Bursite, Mialgia}"
69,Aceclofenac,Aceclofenac Alter 100 mg Comprimidos,Comprimido revestido por película,100 mg,"Alter, S.A.",True,Autorizado,Comercializado,"{Reumatismo articular, Osteoartrose, Periartrite escápulo-umeral, Artrite reumatóide, Espondilite anquilosante, Reumatismo extra-articular, Lombalgia, Ciática, Bursite, Mialgia}"
70,Aceclofenac,Airtal,Comprimido revestido por película,100 mg,"Almirall, S.A",False,Autorizado,Comercializado,"{Reumatismo articular, Osteoartrose, Periartrite escápulo-umeral, Artrite reumatóide, Espondilite anquilosante, Reumatismo extra-articular, Lombalgia, Ciática, Bursite, Mialgia}"
71,Aceclofenac,Airtal,Pó para suspensão oral,100 mg,"Almirall, S.A",False,Autorizado,Comercializado,"{Reumatismo articular, Osteoartrose, Periartrite escápulo-umeral, Artrite reumatóide, Espondilite anquilosante, Reumatismo extra-articular, Lombalgia, Ciática, Bursite, Mialgia}"
72,Aceclofenac,Airtal Difucreme,Creme,15 mg/g,"Almirall, S.A",False,Autorizado,Comercializado,"{Reumatismo articular, Osteoartrose, Periartrite escápulo-umeral, Artrite reumatóide, Espondilite anquilosante, Reumatismo extra-articular, Lombalgia, Ciática, Bursite, Mialgia}"
73,Aceglumato de deanol + Heptaminol,Forticol,Solução oral,230 mg/10 ml + 180 mg/10 ml,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",False,Autorizado,Comercializado,{}
74,Acemetacina,Rantudil,Cápsula,60 mg,"Bial - Portela & Cª, S.A.",False,Autorizado,Comercializado,"{Artrite reumatóide, Espondiloartrite seronegativa, Tendinite, Tenossinovite, Bursite, Gota, Lombalgia, Ciática, Osteoartrose, Distensão, Entorse, Contusão}"
75,Acemetacina,Rantudil 90 Retard,Cápsula de libertação prolongada,90 mg,"Bial - Portela & Cª, S.A.",False,Autorizado,Comercializado,"{Artrite reumatóide, Espondiloartrite seronegativa, Tendinite, Tenossinovite, Bursite, Gota, Lombalgia, Ciática, Osteoartrose, Distensão, Entorse, Contusão}"
76,Acenocumarol,Sintrom,Comprimido,4 mg,Merus Labs Luxco II S.à.r.l.,False,Autorizado,Comercializado,{Distúrbios da coagulação sanguínea}
77,Acenocumarol,Acenocumarol Generis,Comprimido,4 mg,"Generis Farmacêutica, S.A.",True,Autorizado,Comercializado,{Distúrbios de coagulação sanguínea}
78,Aceponato de metilprednisolona,Advantan,Creme,1 mg/g,Leo Pharma A/S,False,Autorizado,Comercializado,"{Dermatite atópica, Neurodermatite, Eczema de contacto, Eczema degenerativo, Eczema desidrótico, Eczema numular, Eczema não classificado, Eczema infantil}"
79,Aceponato de metilprednisolona,Advantan,Emulsão cutânea,1 mg/g,Leo Pharma A/S,False,Autorizado,Comercializado,"{Dermatite atópica, Neurodermatite, Eczema de contacto, Eczema degenerativo, Eczema desidrótico, Eczema numular, Eczema não classificado, Eczema infantil}"
80,Aceponato de metilprednisolona,Advantan,Pomada,1 mg/g,Leo Pharma A/S,False,Autorizado,Comercializado,"{Dermatite atópica, Neurodermatite, Eczema de contacto, Eczema degenerativo, Eczema desidrótico, Eczema numular, Eczema não classificado, Eczema infantil}"
81,Acetato de cálcio + Carbonato de magnésio,Osvaren,Comprimido revestido por película,435 mg + 235 mg,Fresenius Medical Care Nephrologica Deutschland GmbH,False,Autorizado,Comercializado,{Problemas renais crónicos}
82,Acetato de eslicarbazepina,Acetato de eslicarbazepina Pentafarma,Comprimido,800 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",True,Autorizado,Comercializado,{Epilepsia}
